iter	Logloss
0	0.6866070615
1	0.6810600079
2	0.6759903658
3	0.6718012389
4	0.6661470559
5	0.6616736338
6	0.6564926988
7	0.6514240998
8	0.6463424969
9	0.642404821
10	0.6375852818
11	0.6324464952
12	0.6264041487
13	0.6222044574
14	0.6186491008
15	0.6140694218
16	0.6099466017
17	0.6054573085
18	0.602026543
19	0.5975500221
20	0.5934174004
21	0.588767539
22	0.584528518
23	0.5805060724
24	0.5764685939
25	0.5725982098
26	0.5691996372
27	0.5661630189
28	0.5628481565
29	0.5584755589
30	0.5544853344
31	0.549674294
32	0.5457178915
33	0.5428638826
34	0.5389366086
35	0.5359002451
36	0.5319941527
37	0.5273554153
38	0.5234637084
39	0.5200250721
40	0.5171801338
41	0.5135556981
42	0.5093186969
43	0.5058568038
44	0.5030302128
45	0.4997429571
46	0.4964271588
47	0.4929944127
48	0.4906762092
49	0.4873062511
50	0.4845108229
51	0.4817470427
52	0.4792481736
53	0.4762416904
54	0.4728531862
55	0.4698237753
56	0.4677221538
57	0.4635475187
58	0.4606197232
59	0.4576804556
60	0.4548099908
61	0.4518973701
62	0.4489219398
63	0.4469481452
64	0.4439628348
65	0.4407580159
66	0.4383570245
67	0.4356333935
68	0.4330118256
69	0.4306608851
70	0.4281929155
71	0.425561249
72	0.423243755
73	0.4210590432
74	0.4196479099
75	0.4175581536
76	0.4151353061
77	0.4124757758
78	0.4102953305
79	0.4083454717
80	0.4067557794
81	0.4051121985
82	0.4029408705
83	0.4006776599
84	0.399079632
85	0.3976434106
86	0.3954875448
87	0.3928561518
88	0.3910487043
89	0.3890879523
90	0.3877677336
91	0.3855918291
92	0.3832707032
93	0.3817118149
94	0.3801813415
95	0.3786535725
96	0.3769548238
97	0.3750607383
98	0.3730861469
99	0.3714190399
100	0.3697801609
101	0.3679437773
102	0.3661116614
103	0.3646935629
104	0.3621894411
105	0.3600382624
106	0.3588083453
107	0.35680191
108	0.3554496091
109	0.3541154796
110	0.3526804858
111	0.3510823287
112	0.3493034354
113	0.3473527565
114	0.3458094713
115	0.3440812987
116	0.3428202537
117	0.3417309199
118	0.3400888257
119	0.3387935082
120	0.3370095597
121	0.335843731
122	0.3339895815
123	0.3325882006
124	0.3314138821
125	0.3295660299
126	0.3274127365
127	0.3257616285
128	0.3238953218
129	0.3221231921
130	0.3209401829
131	0.3197218319
132	0.3186483359
133	0.3173597767
134	0.3159696718
135	0.3150105571
136	0.3138110888
137	0.3127837721
138	0.3116410466
139	0.3106525672
140	0.3093699709
141	0.3078170005
142	0.3065922032
143	0.3050810501
144	0.3036656829
145	0.3022327923
146	0.3011207883
147	0.3000631403
148	0.2991757849
149	0.2981860587
150	0.2971392551
151	0.2959411029
152	0.2946444173
153	0.2936658577
154	0.2923485889
155	0.2914755025
156	0.2901603698
157	0.2890433022
158	0.2880232935
159	0.286836766
160	0.2859218742
161	0.2848511968
162	0.2839580287
163	0.2832781794
164	0.2823905461
165	0.2812265568
166	0.2804803767
167	0.2793069677
168	0.2784365497
169	0.2773536576
170	0.2765224315
171	0.2753320106
172	0.2749184329
173	0.2737382252
174	0.2729264744
175	0.2720912068
176	0.2711925627
177	0.2702859906
178	0.2693667025
179	0.2680673552
180	0.2670794462
181	0.2662412146
182	0.2652729797
183	0.264256355
184	0.2634114182
185	0.2626210885
186	0.2615155052
187	0.260527322
188	0.2598653321
189	0.2590305531
190	0.2581661709
191	0.2576314752
192	0.2568856533
193	0.2558663252
194	0.255100157
195	0.2542527596
196	0.2535324707
197	0.2522996446
198	0.2516561687
199	0.2510283301
200	0.2506762547
201	0.2497625789
202	0.2488622209
203	0.2481009129
204	0.2473044578
205	0.246335546
206	0.2459699415
207	0.2451418209
208	0.2446256092
209	0.2437623353
210	0.2428130645
211	0.2420826515
212	0.2414020599
213	0.2409186414
214	0.2402078742
215	0.2395586209
216	0.2389764535
217	0.2382388847
218	0.2374512269
219	0.2367272758
220	0.2358715293
221	0.2352101255
222	0.2345482941
223	0.2341332282
224	0.2335434599
225	0.232776127
226	0.2320685547
227	0.2313351628
228	0.2306230366
229	0.2299290622
230	0.2294076671
231	0.2290904143
232	0.2285046034
233	0.227662492
234	0.2269393719
235	0.2258168938
236	0.2251466277
237	0.2247377354
238	0.2241945519
239	0.2237097001
240	0.2232422817
241	0.2224792547
242	0.2217825496
243	0.2211125267
244	0.2206142388
245	0.2200604425
246	0.2194743045
247	0.2189958986
248	0.2181882578
249	0.2177298381
250	0.2170889163
251	0.216525312
252	0.2161154445
253	0.2155959254
254	0.2150153194
255	0.2143009095
256	0.2137399716
257	0.2133276201
258	0.2127983739
259	0.2121797776
260	0.2116317821
261	0.2109489496
262	0.2105393558
263	0.2101723483
264	0.2095707144
265	0.2091431492
266	0.2084652832
267	0.2078369819
268	0.2072506386
269	0.2068483445
270	0.2063718658
271	0.2058978871
272	0.205547503
273	0.2052469115
274	0.2048740685
275	0.2043804773
276	0.2039342438
277	0.203396776
278	0.2028916479
279	0.2025978893
280	0.201969012
281	0.2014145435
282	0.2007795276
283	0.2003073503
284	0.1996873713
285	0.1991514615
286	0.1987987551
287	0.1981967192
288	0.1978911527
289	0.1972970805
290	0.1970131025
291	0.1966758215
292	0.196084882
293	0.1957673069
294	0.1953749861
295	0.194947329
296	0.1945701255
297	0.1942256049
298	0.1937559114
299	0.1933081265
300	0.1928259318
301	0.1925789233
302	0.1921992558
303	0.1917587003
304	0.1913632287
305	0.1909719564
306	0.1905518475
307	0.1901158983
308	0.1896668504
309	0.1893184576
310	0.1890447688
311	0.18851466
312	0.1881563832
313	0.1877832245
314	0.187307538
315	0.1868265394
316	0.1860999709
317	0.1857404239
318	0.1853784103
319	0.1850096728
320	0.1846938716
321	0.1846273366
322	0.1842041576
323	0.1839790881
324	0.1835904105
325	0.1831927327
326	0.1827355882
327	0.1824695845
328	0.1819695752
329	0.1817214425
330	0.1813058883
331	0.1809368388
332	0.1806887982
333	0.1803343305
334	0.1800231471
335	0.1797660658
336	0.179427336
337	0.1790303259
338	0.1787896744
339	0.1782776731
340	0.1778787303
341	0.1776523805
342	0.1774218567
343	0.177094859
344	0.1768389257
345	0.1765354663
346	0.1762841414
347	0.1758445784
348	0.1755128751
349	0.1751609773
350	0.1747712999
351	0.1744438215
352	0.1741667362
353	0.1739627856
354	0.1736832969
355	0.1734179788
356	0.1728866042
357	0.172449821
358	0.1722313882
359	0.1719593227
360	0.1716820554
361	0.171213549
362	0.1708799554
363	0.1707428013
364	0.1704763883
365	0.1702103028
366	0.1698191776
367	0.1694987794
368	0.16920451
369	0.1690276245
370	0.1686746127
371	0.1683068187
372	0.1679663331
373	0.1677268097
374	0.1673517139
375	0.1670407036
376	0.1665661821
377	0.1661909101
378	0.1658022001
379	0.1653534972
380	0.1650599038
381	0.1647196021
382	0.1645195177
383	0.1640847787
384	0.1640179918
385	0.1637224885
386	0.163545944
387	0.163160545
388	0.1628368597
389	0.1624169363
390	0.1619558884
391	0.1617390044
392	0.1613794569
393	0.1609270397
394	0.1606581002
395	0.1604500718
396	0.1601136033
397	0.1598294824
398	0.1596842436
399	0.1593506241
400	0.1591145818
401	0.1589818734
402	0.1587086024
403	0.1585101791
404	0.1582493657
405	0.1580048222
406	0.1577064294
407	0.157526457
408	0.1572847906
409	0.1571056604
410	0.1568623941
411	0.1564512846
412	0.1561545192
413	0.1559104623
414	0.1556996023
415	0.1554716437
416	0.1551983708
417	0.1549415244
418	0.1548444509
419	0.1545538454
420	0.1543490882
421	0.1541315996
422	0.153756177
423	0.1534108744
424	0.1532124472
425	0.1528414183
426	0.1525461785
427	0.152327973
428	0.1520498567
429	0.1517550607
430	0.1515517829
431	0.1513465113
432	0.151097712
433	0.1509122803
434	0.1507372851
435	0.1504241574
436	0.1502652374
437	0.1499421125
438	0.1496391984
439	0.1494274665
440	0.1491456707
441	0.14889986
442	0.1486029707
443	0.1484282037
444	0.1481963074
445	0.1480155777
446	0.1476771604
447	0.1475541029
448	0.1473363875
449	0.1472333706
450	0.1470811397
451	0.1468489438
452	0.1465480896
453	0.1463269165
454	0.1461860992
455	0.1460415719
456	0.145782188
457	0.145550266
458	0.1453085953
459	0.1450442991
460	0.1448329222
461	0.1446602812
462	0.1444337342
463	0.1441602449
464	0.1439346006
465	0.1436645627
466	0.1434788239
467	0.1432609705
468	0.1429793598
469	0.142820082
470	0.1425177126
471	0.1422859831
472	0.142116484
473	0.1419575172
474	0.1414971424
475	0.1412523154
476	0.1409735583
477	0.1408177134
478	0.1405736289
479	0.1403591765
480	0.1402368123
481	0.1399925177
482	0.1397197054
483	0.1395023591
484	0.1392443995
485	0.1390023527
486	0.1387339241
487	0.1386068213
488	0.1382702492
489	0.1380512838
490	0.1378655586
491	0.1377093008
492	0.1375413246
493	0.1372444363
494	0.1371224875
495	0.1368907268
496	0.1366343968
497	0.1363618945
498	0.136145195
499	0.1358813639
500	0.1356793791
501	0.135493451
502	0.1353964375
503	0.1351629609
504	0.1350012725
505	0.1348752252
506	0.1346832381
507	0.134508684
508	0.1343702792
509	0.1341846987
510	0.1339092077
511	0.1336735314
512	0.13354062
513	0.1333423312
514	0.133204795
515	0.1329272546
516	0.132746085
517	0.132538229
518	0.1323958026
519	0.1322167175
520	0.1319917254
521	0.1317554058
522	0.1316315639
523	0.1314787078
524	0.1313018226
525	0.1311313293
526	0.1308680147
527	0.1307052553
528	0.1304692798
529	0.1302713689
530	0.1301181295
531	0.1299811948
532	0.1297849487
533	0.1295538618
534	0.1294113589
535	0.1292635155
536	0.1290014897
537	0.128821976
538	0.1286173935
539	0.1284618412
540	0.1282790713
541	0.1281549755
542	0.1279926806
543	0.1277971707
544	0.1276439442
545	0.1274706738
546	0.1272476471
547	0.1271065346
548	0.1269289012
549	0.1267659231
550	0.1266077953
551	0.1264287412
552	0.1262377086
553	0.1261155836
554	0.1259407035
555	0.1257989698
556	0.125653559
557	0.1254393647
558	0.1253293826
559	0.1251748596
560	0.1249906705
561	0.1248698333
562	0.1247156832
563	0.1245839612
564	0.1244574697
565	0.1242935836
566	0.1241304847
567	0.1239882411
568	0.1237794464
569	0.1235980435
570	0.1234910889
571	0.1232813406
572	0.1230558909
573	0.122838633
574	0.122663945
575	0.122512554
576	0.1223705289
577	0.1222353158
578	0.122069285
579	0.1218951422
580	0.1217686268
581	0.1215939526
582	0.1214835144
583	0.1213348796
584	0.1211809805
585	0.1210359616
586	0.1208647763
587	0.1206420591
588	0.1204637214
589	0.1202663253
590	0.120074552
591	0.1199230716
592	0.1198162489
593	0.1197296142
594	0.119570284
595	0.1194339458
596	0.1192585247
597	0.1190691621
598	0.1188807386
599	0.1187442154
600	0.1186143316
601	0.1184239242
602	0.1182487473
603	0.1181327692
604	0.117968895
605	0.1177941428
606	0.1176942463
607	0.1175958017
608	0.1174561796
609	0.1173251755
610	0.117202376
611	0.1169899835
612	0.1168803001
613	0.116790016
614	0.1166920491
615	0.1165136854
616	0.1163477471
617	0.1162282127
618	0.1160789355
619	0.1159733126
620	0.1158417745
621	0.1157170281
622	0.1155600456
623	0.1154814552
624	0.1153869081
625	0.115207727
626	0.1151061489
627	0.1149938529
628	0.1148233677
629	0.1146754443
630	0.1145633356
631	0.1144642526
632	0.1143314495
633	0.1141709552
634	0.1140462214
635	0.1139442783
636	0.1138580372
637	0.1137143848
638	0.1135582985
639	0.1134168748
640	0.1131850063
641	0.1130287644
642	0.1129941038
643	0.1128796415
644	0.1127099401
645	0.11252392
646	0.1123003461
647	0.1121189294
648	0.1120028071
649	0.1118813273
650	0.1117425023
651	0.1116187685
652	0.1115451143
653	0.1113881917
654	0.1112025304
655	0.1110693187
656	0.1109051841
657	0.1107319757
658	0.1106375347
659	0.1105227467
660	0.1104124359
661	0.1102933227
662	0.1101742922
663	0.1100533253
664	0.1099226647
665	0.1097971137
666	0.1096731828
667	0.1095777055
668	0.109343756
669	0.1092042503
670	0.1090899352
671	0.1089221354
672	0.1088177495
673	0.1086773553
674	0.1085166748
675	0.1084579741
676	0.1082992476
677	0.1081958149
678	0.1078974125
679	0.1077199436
680	0.1075858395
681	0.1074493956
682	0.1073283177
683	0.1072799598
684	0.1072154866
